City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Mecca,SA,83.1,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
516,Bayonet Point,US,81.95,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
522,Caracuaro,MX,85.78,clear sky,19.0106,-101.1264,Hotel Juana
523,Sao Gabriel,BR,84.34,clear sky,-30.3364,-54.32,Hotel Obino
527,Biak,ID,76.39,broken clouds,-0.9131,122.8766,Penginapan Kim
532,Sokoni,TZ,80.46,clear sky,-6.4333,39.55,Ujamaa Beach Resort
535,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
536,Gat,IL,77.4,overcast clouds,31.61,34.7642,OlusHome
538,Progreso,MX,85.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
539,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
540,Port Blair,IN,81.46,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
542,Mogadishu,SO,79.72,broken clouds,2.0371,45.3438,Hotel Juba
543,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
544,Kantunilkin,MX,83.95,broken clouds,21.0917,-87.45,Posada Paraiso
546,Wajid,SO,79.79,scattered clouds,3.8093,43.2471,xamdihotelresturant114
548,Sesheke,ZM,84.97,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
549,Barreirinhas,BR,84.96,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
554,Bahia Honda,CU,82.54,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
555,Seguela,CI,79.05,overcast clouds,7.9611,-6.6731,Hotel le Carrefour
560,Les Cayes,HT,83.3,overcast clouds,18.2,-73.75,Villa Orphee
562,Bujumbura,BI,75.38,scattered clouds,-3.3822,29.3644,Bora Guest House
565,Tabou,CI,77.14,overcast clouds,4.423,-7.3528,hotêl doufoulougou
