City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Morro Bay,US,35.3658,-120.8499,85.24,53,43,8.01,scattered clouds
294,Khlevnoye,RU,52.1951,39.0932,35.62,78,17,5.93,few clouds
295,Ulaangom,MN,49.9811,92.0667,32.31,66,22,3.02,few clouds
296,Mattru,SL,7.6244,-11.8332,74.98,96,99,3.89,overcast clouds
297,Omboue,GA,-1.5746,9.2618,76.89,91,66,4.99,light rain
298,Mahendranagar,NP,28.9167,80.3333,65.05,74,0,3.78,clear sky
299,Patiya,BD,22.2931,91.9762,73.71,89,1,2.86,clear sky
300,Sawakin,SD,19.1059,37.3321,84.51,70,0,5.28,clear sky
301,Aklavik,CA,68.2191,-135.0107,23.83,94,100,1.5,light snow
302,Maldonado,UY,-34.6667,-54.9167,81.79,52,1,14.61,clear sky
303,Korla,CN,41.7597,86.1469,50.63,38,97,6.53,overcast clouds
304,Kandana,LK,7.048,79.8937,77.02,100,75,2.3,thunderstorm
305,Harer,ET,9.3094,42.1258,57.85,48,32,4.72,scattered clouds
306,Mezen,RU,65.8522,44.24,29.98,98,100,7.74,snow
307,Male,MV,4.1748,73.5089,82.35,83,75,5.75,broken clouds
308,Tondano,ID,1.3038,124.9112,69.89,93,98,0.69,moderate rain
309,Awbari,LY,26.5921,12.7805,72.32,34,13,8.34,few clouds
310,Takoradi,GH,4.8845,-1.7554,79.59,83,74,11.21,broken clouds
311,Hay River,CA,60.8156,-115.7999,33.78,93,90,8.05,light snow
312,Inuvik,CA,68.3499,-133.7218,24.01,96,90,1.14,light snow
313,Jati,PK,24.3539,68.2671,78.82,44,0,7.02,clear sky
314,Boa Vista,BR,2.8197,-60.6733,93.18,46,75,9.22,broken clouds
315,Tikhvin,RU,59.6451,33.5294,45.21,89,32,10.04,scattered clouds
316,Cooma,AU,-36.2333,149.1333,31.77,80,29,8.05,scattered clouds
317,Lata,PT,40.1629,-8.3327,62.92,92,100,14.74,light rain
318,Pagudpud,PH,18.5616,120.7868,73.36,85,10,11.86,clear sky
319,Mumford,GH,5.2618,-0.759,79.52,85,100,9.57,light rain
320,Sayat,TM,38.7839,63.8803,44.47,45,0,6.98,clear sky
321,Salalah,OM,17.0151,54.0924,84.29,61,0,8.05,clear sky
322,Krasnoselkup,RU,65.7,82.4667,20.26,97,19,6.49,few clouds
323,Kholtoson,RU,50.2981,103.3097,26.85,89,12,3.11,few clouds
324,Suntar,RU,62.1444,117.6319,13.5,94,37,4.23,scattered clouds
325,La Ronge,CA,55.1001,-105.2842,48.45,40,40,3.44,scattered clouds
326,Raga,SS,8.4596,25.678,78.58,43,100,2.13,overcast clouds
327,Buchanan,LR,5.8808,-10.0467,76.96,89,89,6.85,moderate rain
328,Bacolod,PH,10.6667,122.95,79.21,84,88,7.45,overcast clouds
329,Floro,NO,61.5996,5.0328,59.07,62,75,23.02,light intensity shower rain
330,Pisco,PE,-13.7,-76.2167,69.85,68,0,9.22,clear sky
331,Birin,NP,26.8865,88.0718,52.92,75,0,5.01,clear sky
332,Siderno,IT,38.2779,16.302,63.34,88,99,21.7,overcast clouds
333,Lishui,CN,28.4604,119.9103,60.89,87,100,0.94,light rain
334,Kizema,RU,61.113,44.8302,36.97,98,100,8.12,light rain
335,Dikson,RU,73.5069,80.5464,3.58,89,100,17.76,overcast clouds
336,Pyapon,MM,16.2833,95.6833,76.55,87,61,2.8,broken clouds
337,Kautokeino,NO,69.0125,23.0412,27.43,92,79,0.69,broken clouds
338,Yangjiang,CN,21.85,111.9667,72.64,88,98,4.29,overcast clouds
339,Pangkalanbuun,ID,-2.6833,111.6167,74.23,99,86,2.66,overcast clouds
340,Itoman,JP,26.1247,127.6694,71.62,71,0,4.61,clear sky
341,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,100,0,6.71,clear sky
342,Hambantota,LK,6.1241,81.1185,77.34,100,75,4.61,broken clouds
343,Chara,RU,56.9064,118.2631,11.46,62,0,1.5,clear sky
344,Boyolangu,ID,-8.1181,111.8935,76.26,93,100,3.58,light rain
